Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18:36:00,Wednesday,18-30,Male,Junior high school,Unknown,,Lorry,Governmental,1,Defect,Residential areas,other,Escarpments,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,88,na,Driver,Normal,Not a Pedestrian,Improper parking,Slight Injury
18:36:00,Wednesday,18-30,Male,Junior high school,Employee,3,Taxi,Owner,2,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,99,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
18:36:00,Wednesday,18-30,Female,Junior high school,Employee,7,Taxi,Owner,3,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,13,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
14:35:00,Friday,18-30,Male,Above high school,Employee,4,Automobile,Owner,4,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:25:00,Tuesday,Over 51,Male,Junior high school,Unknown,9,Automobile,Governmental,5,Defect,Unknown,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,32,3,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:25:00,Tuesday,18-30,Male,Above high school,Employee,5,Lorry ,Owner,6,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,44,2,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury
15:30:00,Monday,18-30,Male,Junior high school,Employee,3,Automobile,Owner,7,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:10:00,Thursday,18-30,Male,Junior high school,Employee,16,Automobile,Governmental,8,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,34,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:25:00,Thursday,18-30,Male,Junior high school,Employee,1,Lorry ,Owner,9,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,11,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:25:00,Thursday,31-50,Unknown,Junior high school,Employee,4,Automobile,Governmental,9,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,11,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:57:00,Saturday,Over 51,Male,Junior high school,Employee,1,Automobile,Owner,1,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,10,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:57:00,Saturday,18-30,Male,High school,Employee,8,Automobile,Owner,2,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Male,34,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
20:30:00,Friday,18-30,Male,Above high school,Employee,3,Taxi,Owner,3,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
20:30:00,Friday,Over 51,Male,Junior high school,Employee,1,Taxi,Owner,4,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,9,2,Driver,Normal,Not a Pedestrian,Other,Slight Injury
20:30:00,Friday,Over 51,Male,High school,Unknown,0,Taxi,Owner,5,Defect,Residential areas,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:30:00,Sunday,Over 51,Male,High school,Employee,1,Automobile,Owner,5,Defect, Outside rural areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,9,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
16:30:00,Sunday,31-50,Male,High school,Employee,0,Automobile,Owner,3,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,5,na,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:50:00,Sunday,31-50,Male,Above high school,Unknown,0,Taxi,Owner,2,Defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,55,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21:50:00,Sunday,18-30,Male,High school,Employee,3,Automobile,Owner,5,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,55,3,Unemployed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
09:12:00,Wednesday,18-30,Male,Junior high school,Employee,15,Public ,Owner,7,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,44,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
09:12:00,Wednesday,18-30,Male,Junior high school,Employee,14,Public ,Governmental,8,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,33,3,Other,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
14:40:00,Friday,31-50,Male,Junior high school,Employee,6,Lorry ,Owner,2,Defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,22,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
10:36:00,Friday,31-50,Male,Junior high school,Employee,2,Stationwagen,Owner,4,Defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
10:36:00,Friday,31-50,Male,College,Employee,1,Ridden horse,Owner,9,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,12,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
18:19:00,Monday,18-30,Male,Junior high school,Employee,0,Stationwagen,Owner,8,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Unemployed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:19:00,Monday,18-30,Male,High school,Employee,5,Automobile,Owner,6,Defect,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,12,2,Unemployed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
19:12:00,Tuesday,18-30,Male,Junior high school,Owner,2,Automobile,Owner,4,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,33,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
19:12:00,Tuesday,31-50,Male,Junior high school,Employee,4,Other,Governmental,2,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,Over 51,Male,Elementary school,Employee,3,Taxi,Owner,1,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,67,3,Other,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,31-50,Male,Elementary school,Owner,2,Automobile,Owner,2,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,88,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
11:38:00,Saturday,31-50,Male,Junior high school,Employee,11,Stationwagen,Owner,3,Defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,55,na,Unemployed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
11:38:00,Saturday,18-30,Unknown,Junior high school,Employee,1,Automobile,Owner,5,Defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,34,3,Employee,Normal,Not a Pedestrian,Overtaking,Slight Injury
13:30:00,Thursday,18-30,Male,High school,Employee,7,Public ,Organization,7,Defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,44,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:30:00,Thursday,31-50,Male,Junior high school,Employee,1,Stationwagen,Owner,6,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
12:39:00,Tuesday,18-30,Unknown,Junior high school,Employee,1,Automobile,Governmental,8,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Earth roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:39:00,Tuesday,Over 51,Male,Junior high school,Unknown,1,Lorry,Owner,4,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,78,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:30:00,Friday,18-30,Male,Junior high school,Employee,1,Stationwagen,Owner,3,No defect, Industrial areas,Unknown,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:30:00,Friday,31-50,Male,Junior high school,Employee,1,Public ,Owner,1,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
16:55:00,Sunday,31-50,Male,Elementary school,Employee,1,Stationwagen,Owner,2,No defect,Other,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,na,3,Student,Normal,Not a Pedestrian,Other,Slight Injury
16:55:00,Sunday,31-50,Male,Elementary school,Employee,1,Public ,Organization,3,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
18:25:00,Monday,Unknown,Female,Junior high school,Employee,1,Public ,Owner,4,Defect,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,23,3,Self-employed,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
18:25:00,Monday,31-50,Male,Junior high school,Employee,1,Automobile,Owner,5,No defect, Church areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,na,3,Driver,Normal,Not a Pedestrian,Unknown,Slight Injury
13:01:00,Thursday,31-50,Unknown,Junior high school,Employee,2,Taxi,Organization,6,No defect, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,33,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13:01:00,Thursday,18-30,Male,Junior high school,Owner,3,Automobile,Owner,7,No defect,Office areas,other,Gentle horizontal curve,O Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,na,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:45:00,Wednesday,18-30,Male,Junior high school,Employee,4,Lorry ,Owner,8,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
13:45:00,Wednesday,31-50,Male,Elementary school,Other,5,Public ,Owner,9,Defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,34,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:45:00,Monday,18-30,Male,Elementary school,Employee,6,Lorry ,Owner,6,Defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,67,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:45:00,Monday,31-50,Male,Junior high school,Unknown,7,Automobile,Owner,4,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,55,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,8,Automobile,Owner,3,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,33,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
11:02:00,Thursday,31-50,Male,Elementary school,Employee,9,Automobile,Owner,4,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,87,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Owner,10,Bajaj,Owner,5,Defect,Other,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,11,Public ,Owner,3,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,47,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
15:55:00,Tuesday,Over 51,Male,Elementary school,Employee,12,Lorry,Owner,4,Defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,34,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
15:00:00,Wednesday,Over 51,Unknown,Junior high school,Unknown,0,Bajaj,Unkown,6,Defect,Office areas,other,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Unemployed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Sunday,31-50,Male,Junior high school,Employee,1,Bajaj,Owner,5,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,63,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
20:00:00,Sunday,Under 18,Male,High school,Owner,2,Automobile,Owner,4,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Unemployed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:48:00,Wednesday,31-50,Male,Junior high school,Employee,3,Lorry ,Owner,7,No defect, Industrial areas,Undivided Two way,Escarpments,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,36,3,Other,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
18:48:00,Wednesday,31-50,Male,Junior high school,Employee,4,Lorry,Owner,8,No defect,Office areas,Double carriageway (median),Escarpments,Crossing,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,45,2,Driver,Normal,Not a Pedestrian,Overturning,Serious Injury
15:55:00,Sunday,Over 51,Male,Above high school,Owner,5,Other,Owner,4,No defect, Church areas,Undivided Two way,Escarpments,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,35,na,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
